RANK,PLAYER,TEAM,Pos
1,Saquon Barkley,NYG,RB
2,Alvin Kamara,NO,RB
3,Christian McCaffrey,CAR,RB
4,Ezekiel Elliott,DAL,RB
5,DeAndre Hopkins,HOU,WR
6,David Johnson,ARI,RB
7,Julio Jones,ATL,WR
8,Davante Adams,GB,WR
9,Le'Veon Bell,NYJ,RB
10,Joe Mixon,CIN,RB
11,Travis Kelce,KC,TE
12,Todd Gurley II,LAR,RB
13,JuJu Smith-Schuster,PIT,WR
14,Michael Thomas,NO,WR
15,Odell Beckham Jr.,CLE,WR
16,Tyreek Hill,KC,WR
17,James Conner,PIT,RB
18,Dalvin Cook,MIN,RB
19,Nick Chubb,CLE,RB
20,Mike Evans,TB,WR
21,Keenan Allen,LAC,WR
22,Leonard Fournette,JAC,RB
23,Antonio Brown,OAK,WR
24,Zach Ertz,PHI,TE
25,Adam Thielen,MIN,WR
26,George Kittle,SF,TE
27,Amari Cooper,DAL,WR
28,Devonta Freeman,ATL,RB
29,Stefon Diggs,MIN,WR
30,Brandin Cooks,LAR,WR
31,Aaron Jones,GB,RB
32,Julian Edelman,NE,WR
33,Kerryon Johnson,DET,RB
34,Damien Williams,KC,RB
35,Melvin Gordon,LAC,RB
36,Robert Woods,LAR,WR
37,Josh Jacobs,OAK,RB
38,Kenny Golladay,DET,WR
39,Derrick Henry,TEN,RB
40,Chris Godwin,TB,WR
41,T.Y. Hilton,IND,WR
42,Chris Carson,SEA,RB
43,Cooper Kupp,LAR,WR
44,Marlon Mack,IND,RB
45,Tyler Lockett,SEA,WR
46,Tyler Boyd,CIN,WR
47,Patrick Mahomes,KC,QB
48,Alshon Jeffery,PHI,WR
49,Mike Williams,LAC,WR
50,Deshaun Watson,HOU,QB
51,DJ Moore,CAR,WR
52,James White,NE,RB
53,Sony Michel,NE,RB
54,Allen Robinson,CHI,WR
55,David Montgomery,CHI,RB
56,Calvin Ridley,ATL,WR
57,A.J. Green,CIN,WR
58,Jarvis Landry,CLE,WR
59,Evan Engram,NYG,TE
60,Mark Ingram II,BAL,RB
61,Sammy Watkins,KC,WR
62,Robby Anderson,NYJ,WR
63,O.J. Howard,TB,TE
64,Tarik Cohen,CHI,RB
65,Phillip Lindsay,DEN,RB
66,Hunter Henry,LAC,TE
67,Kenyan Drake,MIA,RB
68,Aaron Rodgers,GB,QB
69,Christian Kirk,ARI,WR
70,Tevin Coleman,SF,RB
71,Sterling Shepard,NYG,WR
72,Derrius Guice,WAS,RB
73,Josh Gordon,NE,WR
74,Miles Sanders,PHI,RB
75,Matt Ryan,ATL,QB
76,Dede Westbrook,JAC,WR
77,Will Fuller V,HOU,WR
78,Marvin Jones Jr.,DET,WR
79,Curtis Samuel,CAR,WR
80,Duke Johnson Jr.,HOU,RB
81,Corey Davis,TEN,WR
82,Austin Ekeler,LAC,RB
83,Jared Cook,NO,TE
84,Dante Pettis,SF,WR
85,Rashaad Penny,SEA,RB
86,Baker Mayfield,CLE,QB
87,Royce Freeman,DEN,RB
88,Larry Fitzgerald,ARI,WR
89,Keke Coutee,HOU,WR
90,Courtland Sutton,DEN,WR
91,Latavius Murray,NO,RB
92,Vance McDonald,PIT,TE
93,Jordan Howard,PHI,RB
94,Emmanuel Sanders,DEN,WR
95,Cam Newton,CAR,QB
96,David Njoku,CLE,TE
97,Matt Breida,SF,RB
98,Darrell Henderson,LAR,RB
99,Nyheim Hines,IND,RB
100,LeSean McCoy,BUF,RB
101,Peyton Barber,TB,RB
102,Delanie Walker,TEN,TE
103,Carson Wentz,PHI,QB
104,Geronimo Allison,GB,WR
105,Russell Wilson,SEA,QB
106,Dion Lewis,TEN,RB
107,Drew Brees,NO,QB
108,Michael Gallup,DAL,WR
109,Eric Ebron,IND,TE
110,Donte Moncrief,PIT,WR
111,Kalen Ballage,MIA,RB
112,DeSean Jackson,PHI,WR
113,Marquez Valdes-Scantling,GB,WR
114,Anthony Miller,CHI,WR
115,Austin Hooper,ATL,TE
116,Jared Goff,LAR,QB
117,Ronald Jones,TB,RB
118,Jamison Crowder,NYJ,WR
119,Golden Tate,NYG,WR
120,Jaylen Samuels,PIT,RB
121,Trey Burton,CHI,TE
122,Jameis Winston,TB,QB
123,James Washington,PIT,WR
124,Carlos Hyde,KC,RB
125,Jordan Reed,WAS,TE
126,Tyrell Williams,OAK,WR
127,Ben Roethlisberger,PIT,QB
128,Justin Jackson,LAC,RB
129,Kyler Murray,ARI,QB
130,Kenny Stills,MIA,WR
131,Jalen Richard,OAK,RB
132,Giovani Bernard,CIN,RB
133,John Brown,BUF,WR
134,DaeSean Hamilton,DEN,WR
135,Adam Humphries,TEN,WR
136,Dak Prescott,DAL,QB
137,Chris Thompson,WAS,RB
138,Mark Andrews,BAL,TE
139,Bears D/ST,CHI,DST
140,Lamar Jackson,BAL,QB
141,Tony Pollard,DAL,RB
142,Greg Zuerlein,LAR,K
143,Greg Olsen,CAR,TE
144,Philip Rivers,LAC,QB
145,DK Metcalf,SEA,WR
146,Darwin Thompson,KC,RB
147,Jaguars D/ST,JAC,DST
148,Adrian Peterson,WAS,RB
149,Justin Tucker,BAL,K
150,Rams D/ST,LAR,DST
151,Damarea Crockett,HOU,RB
152,Harrison Butker,KC,K
153,Vikings D/ST,MIN,DST
154,Albert Wilson,MIA,WR
155,Kyle Rudolph,MIN,TE
156,Chargers D/ST,LAC,DST
157,Kareem Hunt,CLE,RB
158,Mitchell Trubisky,CHI,QB
159,Wil Lutz,NO,K
160,Mohamed Sanu,ATL,WR
161,Devin Singletary,BUF,RB
162,Tom Brady,NE,QB
163,Stephen Gostkowski,NE,K
164,Ka'imi Fairbairn,HOU,K
165,Saints D/ST,NO,DST
166,Texans D/ST,HOU,DST
167,Kirk Cousins,MIN,QB
168,Mike Davis,CHI,RB
169,Jimmy Graham,GB,TE
170,Bills D/ST,BUF,DST
171,Deebo Samuel,SF,WR
172,Patriots D/ST,NE,DST
173,Robbie Gould,SF,K
174,Jack Doyle,IND,TE
175,Damien Harris,NE,RB
176,Parris Campbell,IND,WR
177,Broncos D/ST,DEN,DST
178,Mike Badgley,LAC,K
179,T.J. Hockenson,DET,TE
180,Jimmy Garoppolo,SF,QB
181,Brett Maher,DAL,K
182,Tre'Quan Smith,NO,WR
183,C.J. Anderson,DET,RB
184,Chris Herndon,NYJ,TE
185,Justice Hill,BAL,RB
186,Mason Crosby,GB,K
187,Colts D/ST,IND,DST
188,Ito Smith,ATL,RB
189,N'Keal Harry,NE,WR
190,Matt Prater,DET,K
191,Jamaal Williams,GB,RB
192,Josh Allen,BUF,QB
193,Noah Fant,DEN,TE
194,Devin Funchess,IND,WR
195,Ravens D/ST,BAL,DST
196,Jake Elliott,PHI,K
197,Jerick McKinnon,SF,RB
198,Marquise Brown,BAL,WR
199,Quincy Enunwa,NYJ,WR
200,Sam Darnold,NYJ,QB