rank,player,TEAM,POS
1,Saquon Barkley,NYG,RB
2,Christian McCaffrey,CAR,RB
3,Ezekiel Elliott,DAL,RB
4,Alvin Kamara,NO,RB
5,David Johnson,ARI,RB
6,Le'Veon Bell,NYJ,RB
7,DeAndre Hopkins,HOU,WR
8,Davante Adams,GB,WR
9,Julio Jones,ATL,WR
10,Michael Thomas,NO,WR
11,Odell Beckham Jr.,CLE,WR
12,Joe Mixon,CIN,RB
13,Nick Chubb,CLE,RB
14,Dalvin Cook,MIN,RB
15,Travis Kelce,KC,TE
16,JuJu Smith-Schuster,PIT,WR
17,Mike Evans,TB,WR
18,Tyreek Hill,KC,WR
19,Antonio Brown,OAK,WR
20,James Conner,PIT,RB
21,Damien Williams,KC,RB
22,Devonta Freeman,ATL,RB
23,Adam Thielen,MIN,WR
24,Keenan Allen,LAC,WR
25,Stefon Diggs,MIN,WR
26,Amari Cooper,DAL,WR
27,Aaron Jones,GB,RB
28,Melvin Gordon,LAC,RB
29,Leonard Fournette,JAC,RB
30,Todd Gurley II,LAR,RB
31,George Kittle,SF,TE
32,Zach Ertz,PHI,TE
33,Derrick Henry,TEN,RB
34,James White,NE,RB
35,Marlon Mack,IND,RB
36,Josh Jacobs,OAK,RB
37,Brandin Cooks,LAR,WR
38,Robert Woods,LAR,WR
39,Julian Edelman,NE,WR
40,Patrick Mahomes,KC,QB
41,Cooper Kupp,LAR,WR
42,Kenny Golladay,DET,WR
43,T.Y. Hilton,IND,WR
44,Chris Godwin,TB,WR
45,DJ Moore,CAR,WR
46,Kerryon Johnson,DET,RB
47,Mark Ingram II,BAL,RB
48,David Montgomery,CHI,RB
49,Chris Carson,SEA,RB
50,Tarik Cohen,CHI,RB
51,Phillip Lindsay,DEN,RB
52,Alshon Jeffery,PHI,WR
53,Tyler Lockett,SEA,WR
54,Tyler Boyd,CIN,WR
55,Jarvis Landry,CLE,WR
56,Calvin Ridley,ATL,WR
57,Mike Williams,LAC,WR
58,A.J. Green,CIN,WR
59,Deshaun Watson,HOU,QB
60,Aaron Rodgers,GB,QB
61,Miles Sanders,PHI,RB
62,Sony Michel,NE,RB
63,Rashaad Penny,SEA,RB
64,Royce Freeman,DEN,RB
65,Kenyan Drake,MIA,RB
66,Austin Ekeler,LAC,RB
67,Tevin Coleman,SF,RB
68,Duke Johnson Jr.,HOU,RB
69,Robby Anderson,NYJ,WR
70,Allen Robinson,CHI,WR
71,Sterling Shepard,NYG,WR
72,Corey Davis,TEN,WR
73,Christian Kirk,ARI,WR
74,Will Fuller V,HOU,WR
75,Josh Gordon,NE,WR
76,Emmanuel Sanders,DEN,WR
77,Marvin Jones Jr.,DET,WR
78,O.J. Howard,TB,TE
79,Hunter Henry,LAC,TE
80,Evan Engram,NYG,TE
81,Matt Ryan,ATL,QB
82,Carson Wentz,PHI,QB
83,Cam Newton,CAR,QB
84,Baker Mayfield,CLE,QB
85,Kyler Murray,ARI,QB
86,Derrius Guice,WAS,RB
87,Latavius Murray,NO,RB
88,Jordan Howard,PHI,RB
89,LeSean McCoy,BUF,RB
90,Peyton Barber,TB,RB
91,Dede Westbrook,JAC,WR
92,Sammy Watkins,KC,WR
93,Larry Fitzgerald,ARI,WR
94,Donte Moncrief,PIT,WR
95,DeSean Jackson,PHI,WR
96,Curtis Samuel,CAR,WR
97,Darrell Henderson,LAR,RB
98,Jaylen Samuels,PIT,RB
99,Jalen Richard,OAK,RB
100,Nyheim Hines,IND,RB