Rank,Player Name,Team,Position
1,Saquon Barkley,NYG,RB
2,Alvin Kamara,NO,RB
3,Christian McCaffrey,CAR,RB
4,Nick Chubb,CLE,RB
5,Ezekiel Elliott,DAL,RB
6,DeAndre Hopkins,HOU,WR
7,David Johnson,ARI,RB
8,Davante Adams,GB,WR
9,James Conner,PIT,RB
10,Julio Jones,ATL,WR
11,Dalvin Cook,MIN,RB
12,Odell Beckham Jr.,CLE,WR
13,Le'Veon Bell,NYJ,RB
14,Michael Thomas,NO,WR
15,JuJu Smith-Schuster,PIT,WR
16,Travis Kelce,KC,TE
17,Tyreek Hill,KC,WR
18,Joe Mixon,CIN,RB
19,George Kittle,SF,TE
20,Mike Evans,TB,WR
21,Damien Williams,KC,RB
22,Keenan Allen,LAC,WR
23,Kerryon Johnson,DET,RB
24,Aaron Jones,GB,RB
25,Devonta Freeman,ATL,RB
26,Antonio Brown,OAK,WR
27,Amari Cooper,DAL,WR
28,Zach Ertz,PHI,TE
29,Adam Thielen,MIN,WR
30,Stefon Diggs,MIN,WR
31,Chris Godwin,TB,WR
32,Derrick Henry,TEN,RB
33,Todd Gurley,LAR,RB
34,Brandin Cooks,LAR,WR
35,Robert Woods,LAR,WR
36,David Montgomery,CHI,RB
37,Leonard Fournette,JAC,RB
38,Patrick Mahomes,KC,QB
39,Marlon Mack,IND,RB
40,Julian Edelman,NE,WR
41,T.Y. Hilton,IND,WR
42,Chris Carson,SEA,RB
43,Deshaun Watson,HOU,QB
44,Mark Ingram,BAL,RB
45,Kenny Golladay,DET,WR
46,Tyler Lockett,SEA,WR
47,Josh Jacobs,OAK,RB
48,Allen Robinson,CHI,WR
49,Tyler Boyd,CIN,WR
50,Mike Williams,LAC,WR
51,Sony Michel,NE,RB
52,O.J. Howard,TB,TE
53,Cooper Kupp,LAR,WR
54,Calvin Ridley,ATL,WR
55,Robby Anderson,NYJ,WR
56,Aaron Rodgers,GB,QB
57,D.J. Moore,CAR,WR
58,Alshon Jeffery,PHI,WR
59,Matt Ryan,ATL,QB
60,Baker Mayfield,CLE,QB
61,Melvin Gordon,LAC,RB
62,Miles Sanders,PHI,RB
63,Evan Engram,NYG,TE
64,Tevin Coleman,SF,RB
65,Hunter Henry,LAC,TE
66,Josh Gordon,NE,WR
67,Christian Kirk,ARI,WR
68,Curtis Samuel,CAR,WR
69,Will Fuller,HOU,WR
70,Duke Johnson,HOU,RB
71,James White,NE,RB
72,Dede Westbrook,JAC,WR
73,Jared Cook,NO,TE
74,Carson Wentz,PHI,QB
75,Russell Wilson,SEA,QB
76,Jarvis Landry,CLE,WR
77,Phillip Lindsay,DEN,RB
78,Cam Newton,CAR,QB
79,Kyler Murray,ARI,QB
80,Vance McDonald,PIT,TE
81,Lamar Jackson,BAL,QB
82,Kenyan Drake,MIA,RB
83,Corey Davis,TEN,WR
84,David Njoku,CLE,TE
85,Royce Freeman,DEN,RB
86,Latavius Murray,NO,RB
87,Jameis Winston,TB,QB
88,A.J. Green,CIN,WR
89,Austin Hooper,ATL,TE
90,Sterling Shepard,NYG,WR
91,Larry Fitzgerald,ARI,WR
92,Tarik Cohen,CHI,RB
93,Drew Brees,NO,QB
94,Mark Andrews,BAL,TE
95,Marvin Jones,DET,WR
96,Sammy Watkins,KC,WR
97,Rashaad Penny,SEA,RB
98,Derrius Guice,WAS,RB
99,Austin Ekeler,LAC,RB
100,Dak Prescott,DAL,QB
101,Matt Breida,SF,RB
102,Darrell Henderson,LAR,RB
103,Marquez Valdes-Scantling,GB,WR
104,Jared Goff,LAR,QB
105,Philip Rivers,LAC,QB
106,Ben Roethlisberger,PIT,QB
107,Michael Gallup,DAL,WR
108,Donte Moncrief,PIT,WR
109,Dante Pettis,SF,WR
110,Eric Ebron,IND,TE
111,Geronimo Allison,GB,WR
112,Emmanuel Sanders,DEN,WR
113,Keke Coutee,HOU,WR
114,Anthony Miller,CHI,WR
115,Trey Burton,CHI,TE
116,Courtland Sutton,DEN,WR
117,Kyle Rudolph,MIN,TE
118,Jamison Crowder,NYJ,WR
119,Mitch Trubisky,CHI,QB
120,Jimmy Garoppolo,SF,QB
121,Kirk Cousins,MIN,QB
122,DeSean Jackson,PHI,WR
123,Chicago Bears,CHI,DST
124,Delanie Walker,TEN,TE
125,Tom Brady,NE,QB
126,Josh Allen,BUF,QB
127,Jordan Howard,PHI,RB
128,Devin Singletary,BUF,RB
129,Kalen Ballage,MIA,RB
130,Jacksonville Jaguars,JAC,DST
131,Devin Funchess,IND,WR
132,Sam Darnold,NYJ,QB
133,Los Angeles Rams,LAR,DST
134,DaeSean Hamilton,DEN,WR
135,Ronald Jones II,TB,RB
136,Minnesota Vikings,MIN,DST
137,Tyrell Williams,OAK,WR
138,Los Angeles Chargers,LAC,DST
139,Jordan Reed,WAS,TE
140,Baltimore Ravens,BAL,DST
141,Marquise Goodwin,SF,WR
142,Cleveland Browns,CLE,DST
143,Matthew Stafford,DET,QB
144,Peyton Barber,TB,RB
145,T.J. Hockenson,DET,TE
146,John Brown,BUF,WR
147,Houston Texans,HOU,DST
148,Greg Zuerlein,LAR,K
149,Derek Carr,OAK,QB
150,LeSean McCoy,BUF,RB
151,Damien Harris,NE,RB
152,Greg Olsen,CAR,TE
153,Dion Lewis,TEN,RB
154,Dallas Goedert,PHI,TE
155,Golden Tate,NYG,WR
156,Jack Doyle,IND,TE
157,Justin Tucker,BAL,K
158,Adrian Peterson,WAS,RB
159,Chris Herndon IV,NYJ,TE
160,Darwin Thompson,KC,RB
161,Jaylen Samuels,PIT,RB
162,Nyheim Hines,IND,RB
163,Jimmy Graham,GB,TE
164,Kenny Stills,MIA,WR
165,Tre'Quan Smith,NO,WR
166,Deebo Samuel,SF,WR
167,Harrison Butker,KC,K
168,Justice Hill,BAL,RB
169,Tony Pollard,DAL,RB
170,N'Keal Harry,NE,WR
171,Justin Jackson,LAC,RB
172,Nick Foles,JAC,QB
173,Jacoby Brissett,IND,QB
174,Andy Dalton,CIN,QB
175,Dallas Cowboys,DAL,DST
176,Mohamed Sanu,ATL,WR
177,James Washington,PIT,WR
178,Zay Jones,BUF,WR
179,Stephen Gostkowski,NE,K
180,Philadelphia Eagles,PHI,DST
181,New England Patriots,NE,DST
182,Chris Thompson,WAS,RB
183,Noah Fant,DEN,TE
184,Ka'imi Fairbairn,HOU,K
185,New Orleans Saints,NO,DST
186,Ito Smith,ATL,RB
187,Wil Lutz,NO,K
188,Denver Broncos,DEN,DST
189,Adam Humphries,TEN,WR
190,Parris Campbell,IND,WR
191,Buffalo Bills,BUF,DST
192,Kareem Hunt,CLE,RB
193,Quincy Enunwa,NYJ,WR
194,Ted Ginn,NO,WR
195,Seattle Seahawks,SEA,DST
196,Giovani Bernard,CIN,RB
197,D.K. Metcalf,SEA,WR
198,Devante Parker,MIA,WR
199,Joe Flacco,DEN,QB
200,Mike Davis,CHI,RB
201,Mason Crosby,GB,K
202,Jamaal Williams,GB,RB
203,Mike Gesicki,MIA,TE
204,Taylor Gabriel,CHI,WR
205,Robbie Gould,SF,K
206,Rashard Higgins,CLE,WR
207,Michael Badgley,LAC,K
208,Darren Waller,OAK,TE
209,Gerald Everett,LAR,TE
210,Malcolm Brown,LAR,RB
211,Brett Maher,DAL,K
212,Kansas City Chiefs,KC,DST
213,Carlos Hyde,KC,RB
214,Albert Wilson,MIA,WR
215,Matt Prater,DET,K
216,Tennessee Titans,TEN,DST
217,Indianapolis Colts,IND,DST
218,Jake Elliott,PHI,K
219,Mecole Hardman,KC,WR
220,Marcus Mariota,TEN,QB
221,Jalen Richard,OAK,RB
222,Jalen Hurd,SF,WR
223,Robert Foster,BUF,WR
224,Tyler Eifert,CIN,TE
225,Andy Isabella,ARI,WR
226,Pittsburgh Steelers,PIT,DST
227,Will Dissly,SEA,TE
228,Randall Cobb,DAL,WR
229,Rex Burkhead,NE,RB
230,Nelson Agholor,PHI,WR
231,Ty Montgomery,NYJ,RB
232,Jordan Thomas,HOU,TE
233,Carolina Panthers,CAR,DST
234,Ryan Fitzpatrick,MIA,QB
235,C.J. Anderson,DET,RB
236,Jerick McKinnon,SF,RB
237,Adam Vinatieri,IND,K
238,Danny Amendola,DET,WR
239,Elijah McGuire,NYJ,RB
240,Ian Thomas,CAR,TE
241,Jason Myers,SEA,K
242,Miles Boykin,BAL,WR
243,Marqise Lee,JAC,WR
244,Antonio Callaway,CLE,WR
245,Aldrick Rosas,NYG,K
246,Graham Gano,CAR,K
247,KeeSean Johnson,ARI,WR
248,Chase Edmonds,ARI,RB
249,Trey Quinn,WAS,WR
250,D.J. Chark,JAC,WR
251,Ricky Seals-Jones,ARI,TE
252,Ryan Succop,TEN,K
253,Eli Manning,NYG,QB
254,Josh Lambo,JAC,K
255,Giorgio Tavecchio,ATL,K
256,Josh Doctson,WAS,WR
257,A.J. Brown,TEN,WR
258,Steven Hauschka,BUF,K
259,Cairo Santos,TB,K
260,Chris Boswell,PIT,K
261,Josh Reynolds,LAR,WR
262,Kenneth Dixon,BAL,RB
263,John Ross,CIN,WR
264,Frank Gore,BUF,RB
265,Brandon McManus,DEN,K
266,Greg Joseph,CLE,K
267,Josh Rosen,MIA,QB
268,Diontae Johnson,PIT,WR
269,Dan Bailey,MIN,K
270,Jaron Brown,SEA,WR
271,Cameron Brate,TB,TE
272,New York Jets,NYJ,DST
273,Benny Snell Jr.,PIT,RB
274,Matt Bryant,FA,K
275,Case Keenum,WAS,QB
276,Atlanta Falcons,ATL,DST
277,Dwayne Haskins,WAS,QB
278,Green Bay Packers,GB,DST
279,Arizona Cardinals,ARI,DST
280,Detroit Lions,DET,DST