rank,player,team,pos
3,Saquon Barkley,NYG,RB
1,Alvin Kamara,NO,RB
4,Christian McCaffrey,CAR,RB
6,Nick Chubb,CLE,RB
2,Ezekiel Elliott,DAL,RB
8,DeAndre Hopkins,HOU,WR
5,David Johnson,ARI,RB
7,Davante Adams,GB,WR
10,James Conner,PIT,RB
11,Julio Jones,ATL,WR
17,Dalvin Cook,MIN,RB
12,Odell Beckham Jr.,CLE,WR
9,Le'Veon Bell,NYJ,RB
15,Michael Thomas,NO,WR
20,JuJu Smith-Schuster,PIT,WR
13,Travis Kelce,KC,TE
16,Tyreek Hill,KC,WR
14,Joe Mixon,CIN,RB
18,George Kittle,SF,TE
24,Mike Evans,TB,WR
31,Damien Williams,KC,RB
25,Keenan Allen,LAC,WR
23,Kerryon Johnson,DET,RB
42,Aaron Jones,GB,RB
27,Devonta Freeman,ATL,RB
33,Antonio Brown,OAK,WR
26,Amari Cooper,DAL,WR
22,Zach Ertz,PHI,TE
32,Adam Thielen,MIN,WR
29,Stefon Diggs,MIN,WR
34,Chris Godwin,TB,WR
44,Derrick Henry,TEN,RB
19,Todd Gurley,LAR,RB
30,Brandin Cooks,LAR,WR
37,Robert Woods,LAR,WR
46,David Montgomery,CHI,RB
40,Leonard Fournette,JAC,RB
21,Patrick Mahomes,KC,QB
28,Marlon Mack,IND,RB
35,Julian Edelman,NE,WR
36,T.Y. Hilton,IND,WR
49,Chris Carson,SEA,RB
52,Deshaun Watson,HOU,QB
47,Mark Ingram,BAL,RB
43,Kenny Golladay,DET,WR
59,Tyler Lockett,SEA,WR
50,Josh Jacobs,OAK,RB
45,Allen Robinson,CHI,WR
41,Tyler Boyd,CIN,WR
39,Mike Williams,LAC,WR
55,Sony Michel,NE,RB
58,O.J. Howard,TB,TE
48,Cooper Kupp,LAR,WR
38,Calvin Ridley,ATL,WR
60,Robby Anderson,NYJ,WR
53,Aaron Rodgers,GB,QB
74,D.J. Moore,CAR,WR
62,Alshon Jeffery,PHI,WR
65,Matt Ryan,ATL,QB
63,Baker Mayfield,CLE,QB
54,Melvin Gordon,LAC,RB
61,Miles Sanders,PHI,RB
51,Evan Engram,NYG,TE
56,Tevin Coleman,SF,RB
64,Hunter Henry,LAC,TE
68,Josh Gordon,NE,WR
70,Christian Kirk,ARI,WR
69,Curtis Samuel,CAR,WR
89,Will Fuller,HOU,WR
84,Duke Johnson,HOU,RB
71,James White,NE,RB
94,Dede Westbrook,JAC,WR
67,Jared Cook,NO,TE
72,Carson Wentz,PHI,QB
57,Russell Wilson,SEA,QB
90,Jarvis Landry,CLE,WR
66,Phillip Lindsay,DEN,RB
80,Cam Newton,CAR,QB
86,Kyler Murray,ARI,QB
81,Vance McDonald,PIT,TE
106,Lamar Jackson,BAL,QB
76,Kenyan Drake,MIA,RB
92,Corey Davis,TEN,WR
73,David Njoku,CLE,TE
79,Royce Freeman,DEN,RB
75,Latavius Murray,NO,RB
83,Jameis Winston,TB,QB
103,A.J. Green,CIN,WR
108,Austin Hooper,ATL,TE
118,Sterling Shepard,NYG,WR
110,Larry Fitzgerald,ARI,WR
85,Tarik Cohen,CHI,RB
78,Drew Brees,NO,QB
102,Mark Andrews,BAL,TE
109,Marvin Jones,DET,WR
135,Sammy Watkins,KC,WR
87,Rashaad Penny,SEA,RB
82,Derrius Guice,WAS,RB
77,Austin Ekeler,LAC,RB
99,Dak Prescott,DAL,QB
96,Matt Breida,SF,RB
91,Darrell Henderson,LAR,RB
122,Marquez Valdes-Scantling,GB,WR
97,Jared Goff,LAR,QB
95,Philip Rivers,LAC,QB
88,Ben Roethlisberger,PIT,QB
131,Michael Gallup,DAL,WR
105,Donte Moncrief,PIT,WR
127,Dante Pettis,SF,WR
117,Eric Ebron,IND,TE
167,Geronimo Allison,GB,WR
119,Emmanuel Sanders,DEN,WR
140,Keke Coutee,HOU,WR
155,Anthony Miller,CHI,WR
114,Trey Burton,CHI,TE
128,Courtland Sutton,DEN,WR
123,Kyle Rudolph,MIN,TE
154,Jamison Crowder,NYJ,WR
130,Mitch Trubisky,CHI,QB
98,Jimmy Garoppolo,SF,QB
134,Kirk Cousins,MIN,QB
149,DeSean Jackson,PHI,WR
121,Chicago Bears,CHI,DST
116,Delanie Walker,TEN,TE
112,Tom Brady,NE,QB
142,Josh Allen,BUF,QB
93,Jordan Howard,PHI,RB
129,Devin Singletary,BUF,RB
100,Kalen Ballage,MIA,RB
125,Jacksonville Jaguars,JAC,DST
137,Devin Funchess,IND,WR
138,Sam Darnold,NYJ,QB
132,Los Angeles Rams,LAR,DST
163,DaeSean Hamilton,DEN,WR
101,Ronald Jones II,TB,RB
139,Minnesota Vikings,MIN,DST
198,Tyrell Williams,OAK,WR
156,Los Angeles Chargers,LAC,DST
120,Jordan Reed,WAS,TE
145,Baltimore Ravens,BAL,DST
175,Marquise Goodwin,SF,WR
144,Cleveland Browns,CLE,DST
152,Matthew Stafford,DET,QB
157,Peyton Barber,TB,RB
141,T.J. Hockenson,DET,TE
173,John Brown,BUF,WR
146,Houston Texans,HOU,DST
151,Greg Zuerlein,LAR,K
147,Derek Carr,OAK,QB
107,LeSean McCoy,BUF,RB
115,Damien Harris,NE,RB
133,Greg Olsen,CAR,TE
111,Dion Lewis,TEN,RB
153,Dallas Goedert,PHI,TE
171,Golden Tate,NYG,WR
186,Jack Doyle,IND,TE
159,Justin Tucker,BAL,K
104,Adrian Peterson,WAS,RB
220,Chris Herndon IV,NYJ,TE